,region,price_sold_sek,number_of_rooms,area_size,floor_number,has_elevator,year_built,annual_fee_sek,annual_cost_sek,broker,brokerage_firm,region_processed_bromma,region_processed_centrala sundbyberg,region_processed_gröndal,region_processed_hammarby sjöstad,region_processed_kungsholmen,region_processed_råsunda,region_processed_södermalm,region_processed_vasastan,region_processed_årsta,region_processed_östermalm,has_balcony_nej,has_balcony_unknown,cleaned_floor_number,brokerage_firm_processed_erik olsson fastighetsförmedling,brokerage_firm_processed_fastighetsbyrån stockholm - södermalm,brokerage_firm_processed_länsförsäkringar fastighetsförmedling solna,brokerage_firm_processed_notar,brokerage_firm_processed_tradition mäkleri
695,aspudden,6100000,4.0,84,unknown,False,1949.0,4465,9360,therese jarmunger,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,,True,False,False,False,False
696,vasastan sibirien,5385000,2.0,49,1 av 4,True,1897.0,2664,0,philip andersson,husmanhagberg vasastan,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
697,södermalm,3850000,2.0,46,2,True,1931.0,3062,0,magnus jonzon,notar,False,False,False,False,False,False,True,False,False,False,True,False,2.0,False,False,False,True,False
700,spånga,1830000,2.0,50,15 av 15,True,2017.0,3828,0,jacob hanna,fastighetsbyrån kista,False,False,False,False,False,False,False,False,False,False,False,False,15.0,False,False,False,False,False
701,barkarbystaden,2200000,2.0,48,4 av 5,True,2019.0,3358,360,hatice demirtas,fastighetsbyrån järfälla,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
702,bromma,5400000,4.0,97,2 av 5,True,2016.0,4755,9000,marcus hemrin,bjurfors bromma,True,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
703,järna,1500000,3.0,70,unknown,False,1951.0,3625,3500,tobias bemarre,fastighetsbyrån södertälje,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
704,katarina,4800000,3.0,51,unknown,False,1896.0,3350,0,sainabou jeng,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,,False,True,False,False,False
705,älta,3850000,3.0,83,3 av 4,True,2009.0,4697,9523,jörgen lundgren,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,3.0,True,False,False,False,False
706,södermalm,3830000,2.0,45,3 av 7,True,1971.0,2711,7608,nicole uddén,tradition mäkleri,False,False,False,False,False,False,True,False,False,False,True,False,3.0,False,False,False,False,True
707,högalid,4000000,2.0,38,1,True,1931.0,1960,7424,max calland,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,True,False,False,False
708,hammarby sjöstad,4450000,2.0,655,4 av 8,True,2008.0,4638,0,hanna parwén,notar,False,False,False,True,False,False,False,False,False,False,False,False,4.0,False,False,False,True,False
709,salem,1550000,3.0,915,1 av 4,True,1988.0,6207,4800,mattias izgin,länsförsäkringar fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
710,bromma mariehäll,3368000,2.0,59,1 av 4,True,1986.0,2712,9343,joel beck-friis,husmanhagberg bromma,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
711,huddinge centralt,2610000,2.0,60,unknown,False,1999.0,3350,4800,tobias berger,notar,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
713,skarpnäck,2650000,3.0,744,1 av 3,True,1985.0,4782,7300,marcus andersson,husmanhagberg enskede,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
714,västra skogen,5000000,3.0,78,8,True,1969.0,4058,0,lawan farag,notar,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,False,False,True,False
715,södermalm,6900000,3.0,68,5 av 5,True,1946.0,3697,8268,jerry johnsson,husmanhagberg södermalm/gamla stan,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,False,False,False,False
716,märsta,1950000,3.0,71,1 av 2,True,1985.0,5451,3600,marie karademir,bjurfors sigtuna/märsta,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
717,domherren,2350000,4.0,909,1 av 4,True,1962.0,3876,2748,mattias åhman,åhman mäkleri ab,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
719,hornstull,3900000,1.0,36,7 av 9,True,1938.0,2181,9400,felipe osorio åström,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,True,False,False,False
720,smedslätten,6350000,3.0,82,2 av 3,True,1940.0,5007,9996,anton dahlström,länsförsäkringar fastighetsförmedling stockholm - bromma,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
721,centrala sundbyberg,4200000,2.0,53,4 av 6,True,2016.0,2623,8972,victor lasses,fastighetsbyrån sundbyberg,False,True,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
722,kungsholmen,3995000,1.0,36,3 av 6,True,1937.0,2193,8076,vilhelm åman,bjurfors kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,3.0,False,False,False,False,False
723,centralt,4000000,5.0,1388,3 av 4,True,1988.0,7042,0,mattias åhman,åhman mäkleri ab,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
724,råsunda,2200000,2.0,38,1 av 3,True,1939.0,3048,4300,hampus häggström,svenska mäklarhuset solna,False,False,False,False,False,True,False,False,False,False,True,False,1.0,False,False,False,False,False
725,farsta,2425000,2.0,685,1 av 2,True,1997.0,5356,3864,emma l larsén,husmanhagberg farsta,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
726,hammarby sjöstad,5525000,3.0,61,3 av 5,True,2002.0,3544,0,tobias darnell,länsförsäkringar fastighetsförmedling stockholm - södermalm,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
727,gröndal,2400000,2.0,35,1,True,1901.0,2576,0,signe caroline sjövall,notar,False,False,True,False,False,False,False,False,False,False,True,False,1.0,False,False,False,True,False
728,katarina,4700000,3.0,59,2 av 3,True,1922.0,5975,10496,sofia ekander,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,True,False,False,False
729,skytteholm,3650000,2.0,625,6 av 8,True,1959.0,3732,0,victor aghester,skandiamäklarna solna,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
730,huddinge,2872000,3.0,73,2,True,1964.0,4147,0,johan holmgren,skandiamäklarna huddinge,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
731,grödinge,2495000,3.0,715,2 av 2,True,1984.0,4217,19320,alexander lindeberg,svensk fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
732,kungsholmen,4995000,2.0,63,3 av 3,True,1931.0,3229,8916,emma rågberg fd hjalmarsson,svensk fastighetsförmedling sthlm kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,3.0,False,False,False,False,False
733,hammarby sjöstad,7040000,4.0,89,3 av 5,True,2014.0,4830,0,carina norrbom,skandiamäklarna enskede,False,False,False,True,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
734,rönninge centrum,1535000,1.0,355,2 av 2,True,1996.0,2452,0,kardo talabani,svensk fastighetsförmedling salem/rönninge,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
735,tollare,4420000,4.0,93,4 av 5,True,2019.0,5903,12600,gustav stenberg,skandiamäklarna nacka,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
736,haninge,2400000,2.0,47,8 av 8,True,2022.0,3395,8604,erika asp mutschler,diplomat fastighetmäkleri,False,False,False,False,False,False,False,False,False,False,False,False,8.0,False,False,False,False,False
737,östra tullingeberg,2725000,4.0,108,2 av 2,True,1982.0,7471,6000,michael hultqvist,mh mäklarservice ab,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
738,torsvik,5100000,3.0,69,2 av 6,True,1945.0,3116,4800,helena prahl claesson,skandiamäklarna lidingö,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
739,gamla,2850000,5.0,95,1 av 3,True,1959.0,6864,5400,andy shabo,svensk fastighetsförmedling älvsjö,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
740,centrala södertälje,1375000,3.0,725,3 av 3,True,1993.0,6382,4824,moshe kucukkaya,fastighetsbyrån södertälje,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
743,saltsjöbaden,1700000,2.0,36,unknown,False,1990.0,2255,3000,aila brunnberg,svensk fastighetsförmedling nacka,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
744,vällingby  centrum,3050000,4.0,86,1 av 3,True,1952.0,6029,5100,micaela rebel,skandiamäklarna vällingby/hässelby/kista,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
745,snättringe,2900000,3.0,67,2 av 5,True,2017.0,4131,9120,robin rydén,skandiamäklarna huddinge,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
746,tibble,1800000,3.0,84,2 av 3,True,1969.0,5123,4800,daniel aronsson,skandiamäklarna upplands bro,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
747,trollbäcken,5695000,4.0,117,4 av 4,True,2022.0,6900,6000,linda blomberg,skandiamäklarna tyresö/älta,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
748,aspudden,6000000,3.0,70,2 av 3,False,1949.0,4108,6600,anders ångström,svensk fastighetsförmedling hägersten-liljeholmen,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
749,södermalm sofia,5700000,2.0,62,2 av 6,True,1913.0,3455,0,caroline klasson,bjurfors södermalm,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
750,hagsätra,2180000,3.0,80,2 av 9,True,1959.0,4096,3600,ola åkerberg,bosthlm,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
751,huvudsta,2860000,2.0,70,2,True,1951.0,3708,4800,ilker cengiz,bosthlm,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
752,frösunda,6500000,5.0,119,3 av 6,True,2013.0,5984,7229,emilia rosén,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,3.0,True,False,False,False,False
753,hägernäs strand,7075000,3.0,89,3 av 3,True,2004.0,6592,400,ulrika källström,magnusson mäkleri täby ab,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
754,södermalm,17000000,5.0,124,3 av 4,True,1882.0,6198,12200,farboud nejad,per jansson fastighetsförmedling ab,False,False,False,False,False,False,True,False,False,False,False,True,3.0,False,False,False,False,False
755,nedre gärdet,8350000,3.0,79,unknown,False,1936.0,3595,6600,malin sjöblom,notar,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
756,östermalm,7900000,2.0,60,2 av 3,True,1889.0,2056,16500,kasper geerd,sjöman\frisk,False,False,False,False,False,False,False,False,False,True,False,False,2.0,False,False,False,False,False
757,huvudsta,3750000,2.0,635,4 av 9,True,2006.0,3890,6700,ebba henriksson,svenska mäklarhuset solna,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
758,åkeslund,2700000,2.0,40,3 av 3,True,1946.0,3171,5400,emma andersson hejll,mäklarhuset bromma,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
759,kungsholmen,3250000,1.0,30,0 av 5,False,1899.0,1452,0,magnus jernbeck,blumenthalhoffman fastighetsmäkleri,False,False,False,False,True,False,False,False,False,False,False,True,0.0,False,False,False,False,False
760,helenelund,3200000,3.0,78,4 av 6,True,1970.0,4478,0,alexander lahdo,länsförsäkringar fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
761,vaxön,2600000,3.0,78,1 av 3,True,1991.0,4269,6840,wictoria nilsson,mäklarhuset vaxholm,False,False,False,False,False,False,False,False,False,False,False,True,1.0,False,False,False,False,False
762,södermalm,4100000,2.0,49,1 av 4,True,1934.0,2422,5250,subhan kaki,erik olsson fastighetsförmedling,False,False,False,False,False,False,True,False,False,False,False,False,1.0,True,False,False,False,False
763,södermalm,7800000,3.0,76,5 av 7,True,1924.0,4576,4200,moa michael,notar,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,False,False,True,False
766,kärrdal,2400000,3.0,83,1 av 2,True,1975.0,4683,9360,niklas lundmark,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False
767,bromma,2295000,1.0,39,3 av 3,True,1938.0,2386,4800,rebecca bloss,bjurfors bromma,True,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
768,vasastan,4440000,1.0,46,0,False,1929.0,1954,10300,caroline hanell,sjöman\frisk,False,False,False,False,False,False,False,True,False,False,False,True,0.0,False,False,False,False,False
769,vasastan,11250000,3.0,113,4 av 5,True,1914.0,4837,10900,erik frisk,sjöman\frisk,False,False,False,False,False,False,False,True,False,False,False,False,4.0,False,False,False,False,False
770,bagarmossen,3050000,2.0,58,3 av 3,True,1954.0,4178,3600,jessica winter,mäklarhuset hammarbyhöjden,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
771,norra djurgårdsstaden,12000000,4.0,1025,7 av 7,True,2017.0,5085,6480,sandra hansson,notar,False,False,False,False,False,False,False,False,False,False,False,False,7.0,False,False,False,True,False
772,södermalm,8500000,2.0,51,unknown,False,1911.0,3928,18833,charlotte pellas,historiska hem,False,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,False,False
773,bromma,2645000,2.0,49,2 av 3,True,1944.0,2363,5400,linn holmer,notar,True,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False
774,vasastan,13600000,5.0,130,2 av 4,True,1888.0,5127,0,tina engström,bjurfors vasastan,False,False,False,False,False,False,False,True,False,False,False,False,2.0,False,False,False,False,False
775,hallunda,2100000,3.0,785,5 av 7,True,1973.0,4956,0,fadi haddad,länsförsäkringar fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,False,False,5.0,False,False,False,False,False
777,hästhagen,1950000,1.0,461,1 av 2,True,1896.0,2524,13892,louise chruzander,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,1.0,True,False,False,False,False
778,skärmarbrink / hammarbyhöjden,2500000,2.0,38,2 av 3,True,1938.0,3222,0,sanna  pickelner,svenska mäklarhuset johanneshov,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
779,kvarnholmen,4125000,2.0,53,2 av 5,True,2017.0,3398,7000,chanelle becker,alicia edelman fastighetsmäkleri,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
780,edsberg,1915000,3.0,74,1 av 2,True,1964.0,4601,4200,charlie asteson,länsförsäkringar fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
782,svedmyra,3450000,3.0,70,3 av 3,True,1948.0,4963,8340,jessica winter,mäklarhuset enskede,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
783,ektorp,5850000,5.0,108,2 av 2,True,1895.0,6980,18708,olof edelsvärd,länsförsäkringar fastighetsförmedling nacka,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
784,södertälje mariekäll,1500000,2.0,63,1 av 5,True,1954.0,3654,0,fadi shamoun,notar,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,True,False
785,hammarby sjöstad,5300000,3.0,71,0,True,2008.0,3531,0,ehsan sedagati,notar,False,False,False,True,False,False,False,False,False,False,True,False,0.0,False,False,False,True,False
786,jakobsberg,1250000,1.0,32,4,True,1960.0,2631,4560,kevin norai,länsförsäkringar fastighetsförmedling järfälla,False,False,False,False,False,False,False,False,False,False,True,False,4.0,False,False,False,False,False
787,stureby,2770000,3.0,57,2 av 3,True,1951.0,2945,4176,sebastian andersson,fastighetsbyrån enskede,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
788,bromma / blackeberg,2000000,1.0,31,3,True,1952.0,1713,13860,emrik adolfsson,svenska mäklarhuset bromma,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
789,södermalm högalid,5925000,2.0,60,2 av 5,True,1913.0,2373,0,adde duna,bjurfors södermalm,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
790,ritorp,2600000,2.0,53,2,True,2005.0,5544,8160,jacob habib,notar,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,True,False
791,hjorthagen,3335000,2.0,442,3 av 3,True,1937.0,3524,13950,linnea mott,alicia edelman fastighetsmäkleri,False,False,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,False,False
792,tullinge,3800000,4.0,1095,4 av 4,True,1979.0,5252,10800,romeo sharro,fastighetsbyrån tumba,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
793,aspudden,2835000,1.0,41,2 av 3,True,1937.0,2282,4932,valencia can,fastighetsbyrån hägersten/älvsjö,False,False,False,False,False,False,False,False,False,False,False,True,2.0,False,False,False,False,False
795,centrala märsta,1240000,2.0,39,unknown,False,1964.0,2865,2768,emma kafle,fastighetsbyrån sigtuna/märsta/rosersberg,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
796,kungsholmen,3350000,2.0,385,4 av 6,True,1937.0,2849,0,william bucaro,länsförsäkringar fastighetsförmedling stockholm - kungsholmen,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
797,centrala huddinge,2700000,3.0,82,1,True,1990.0,6426,6588,carl lindstål,bjurfors huddinge/älvsjö,False,False,False,False,False,False,False,False,False,False,True,False,1.0,False,False,False,False,False
798,mörbyskogen,6100000,5.0,1165,1,True,1969.0,5620,6396,alexander syvertsson,fastighetsbyrån danderyd,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
799,gröndal,7050000,4.0,95,3 av 4,True,2017.0,5184,15872,valencia can,fastighetsbyrån hägersten/älvsjö,False,False,True,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
801,södertälje centrum,1260000,2.0,49,3 av 3,True,1943.0,3805,0,eric sollert,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,True,False,3.0,True,False,False,False,False
802,centrala sundbyberg,2450000,1.0,35,3 av 6,True,1994.0,2336,4753,olivier hoho,svenska mäklarhuset sundbyberg,False,True,False,False,False,False,False,False,False,False,True,False,3.0,False,False,False,False,False
803,barkarby,2560000,3.0,72,2 av 3,True,1963.0,3286,4968,amanda pettersson,fastighetsbyrån järfälla,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
804,vasastan,4025000,2.0,435,1,True,1926.0,2160,0,thérèse lennefalk löfgren,fastighetsbyrån stockholm - vasastan,False,False,False,False,False,False,False,True,False,False,False,True,1.0,False,False,False,False,False
805,skarpnäck,2700000,3.0,71,3 av 4,True,1984.0,4707,6960,allan mohmand,husmanhagberg enskede,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,False,False,False,False
806,tyresö,2195000,2.0,59,1 av 3,True,2003.0,4618,0,daniel sjödin,svenska mäklarhuset tyresö,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
807,katarina,5400000,2.0,50,3,True,1927.0,3344,6953,sofia ekander,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,False,3.0,False,True,False,False,False
808,lilla alby,2700000,2.0,425,1 av 3,True,1944.0,2674,0,safa kvist,svenska mäklarhuset sundbyberg,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
809,åkersberga centralt,3200000,4.0,91,2 av 5,True,2009.0,5176,1793,joakim torkelsson,fastighetsbyrån åkersberga,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
810,viggbyholm,2100000,2.0,465,2 av 6,True,1967.0,2817,0,rikard sölling,svenska mäklarhuset täby,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,False,False
811,valsta,1610000,4.0,84,2 av 3,True,1968.0,5504,4800,marie karademir,bjurfors sigtuna/märsta,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
812,gamla råsunda,5425000,2.0,70,2 av 5,True,1910.0,3831,10596,sofia sundqvist,notar,False,False,False,False,False,False,False,False,False,False,True,False,2.0,False,False,False,True,False
813,tullinge trädgårdsstad,1670000,2.0,535,unknown,False,2008.0,4358,0,jesse odesho,länsförsäkringar fastighetsförmedling botkyrka/salem,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,False,False
814,roslags näsby,2400000,2.0,595,6 av 11,True,1961.0,4031,4350,susanne hjort,mohv täby,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
815,kvarnbergsplan,2475000,2.0,579,2 av 3,True,1959.0,2298,7488,marina bergman,länsförsäkringar fastighetsförmedling huddinge,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
818,centralt,1800000,2.0,57,1 av 3,True,1951.0,3571,4200,marcus berglund,länsförsäkringar fastighetsförmedling upplands väsby,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
819,ekhagen,7500000,5.0,1283,5 av 6,True,1968.0,6856,2052,christian johansson,hemverket ab,False,False,False,False,False,False,False,False,False,False,False,True,5.0,False,False,False,False,False
820,råsunda,2975000,2.0,40,1,True,2021.0,2864,0,marianna maatouk,bronze fastighetsförmedling ab,False,False,False,False,False,True,False,False,False,False,False,False,1.0,False,False,False,False,False
821,hornsbergs strand,8650000,3.0,88,8 av 8,True,2013.0,4214,6000,pia lasses,erik olsson fastighetsförmedling,False,False,False,False,False,False,False,False,False,False,False,False,8.0,True,False,False,False,False
822,sofia,5850000,2.0,61,1,True,1914.0,3146,0,max calland,fastighetsbyrån stockholm - södermalm,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,True,False,False,False
823,södermalm,7900000,3.0,75,5 av 5,True,1931.0,4737,10200,sandra  vestin,historiska hem,False,False,False,False,False,False,True,False,False,False,False,False,5.0,False,False,False,False,False
825,fiskarhöjden,2500000,4.0,85,2 av 4,True,2017.0,5114,3600,jakob cherkani,widerlöv nacka/värmdö,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
828,flemingsberg,1595000,2.0,37,10 av 11,True,1975.0,2901,0,monica ryberg,fastighetsbyrån huddinge,False,False,False,False,False,False,False,False,False,False,False,False,10.0,False,False,False,False,False
829,lilla alby,3750000,3.0,60,1 av 3,True,1950.0,3888,3500,josephine kvist,svenska mäklarhuset sundbyberg,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
830,södermalm,3285000,2.0,38,1,True,1930.0,1954,4868,josefine schöön,husmanhagberg södermalm/gamla stan,False,False,False,False,False,False,True,False,False,False,True,False,1.0,False,False,False,False,False
831,edsängen,2750000,3.0,68,4 av 6,True,2018.0,4363,4488,alexander torssell,länsförsäkringar fastighetsförmedling sollentuna,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
832,centrala sundbyberg,2850000,2.0,435,2 av 3,True,1944.0,2752,5300,marcus nilsson,svenska mäklarhuset sundbyberg,False,True,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
833,centrala huddinge,2770000,3.0,76,6 av 6,True,1963.0,4334,7870,jessica andrée,fastighetsbyrån huddinge,False,False,False,False,False,False,False,False,False,False,False,False,6.0,False,False,False,False,False
834,boo,1850000,3.0,61,1 av 3,True,1969.0,4707,6000,magnus willes,skandiamäklarna nacka,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
835,näset,3650000,2.0,60,4 av 7,True,1958.0,3266,0,helena prahl claesson,skandiamäklarna lidingö,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
836,akalla,1945000,3.0,755,2,True,1975.0,4614,0,jeanette boghos,fastighetsbyrån kista,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
837,vaxholm,2550000,2.0,57,unknown,False,1983.0,4560,10584,line olsson,svensk fastighetsförmedling vaxholm,False,False,False,False,False,False,False,False,False,False,False,True,,False,False,False,False,False
839,täby park,2100000,2.0,55,0 av 7,True,2021.0,3318,2220,arvid sjöquist,fastighetsbyrån täby,False,False,False,False,False,False,False,False,False,False,False,True,0.0,False,False,False,False,False
840,årsta,3930000,3.0,64,3 av 3,True,1945.0,5086,0,david ling,skandiamäklarna älvsjö/årsta,False,False,False,False,False,False,False,False,True,False,False,False,3.0,False,False,False,False,False
841,hammarbyhöjden/skärmarbrink,2245000,1.0,30,2 av 7,True,1942.0,2942,5880,stefan bergner,skandiamäklarna enskede,False,False,False,False,False,False,False,False,False,False,False,False,2.0,False,False,False,False,False
842,kungsholmen,4800000,2.0,41,4 av 5,True,1931.0,2666,0,mattias wedberg,svensk fastighetsförmedling sthlm östermalm/gärdet,False,False,False,False,True,False,False,False,False,False,False,False,4.0,False,False,False,False,False
844,vasastan,6300000,3.0,64,3,True,1925.0,4331,1500,otilia håkansson,fastighetsbyrån stockholm - vasastan,False,False,False,False,False,False,False,True,False,False,False,True,3.0,False,False,False,False,False
846,centrala väsby,1095000,1.0,31,4 av 4,True,2014.0,2868,4992,jonas bedinger,skandiamäklarna sollentuna,False,False,False,False,False,False,False,False,False,False,False,True,4.0,False,False,False,False,False
847,vällingby parkstad / råcksta,2020000,1.0,42,4 av 4,True,2017.0,2434,3600,micaela rebel,skandiamäklarna vällingby/hässelby/kista,False,False,False,False,False,False,False,False,False,False,False,False,4.0,False,False,False,False,False
848,viggbygärdet,2295000,2.0,525,1 av 2,True,1968.0,3010,6600,oskar jägholm,jägholm norrortsmäklarna,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
851,vega,3100000,3.0,73,1 av 5,True,2018.0,4198,4800,sofia branting,mohv haninge,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
852,råsunda,2775000,2.0,36,4 av 4,True,1940.0,2572,5400,zolle baleng,mäklarhuset hammarbyhöjden,False,False,False,False,False,True,False,False,False,False,False,False,4.0,False,False,False,False,False
854,bromma,2300000,2.0,54,unknown,False,1951.0,2687,0,andreas nilsson,notar,True,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,True,False
855,kungsholmen,4575000,2.0,445,2 av 5,True,1933.0,2772,0,lena svartström,mäklarhuset stockholm innerstan,False,False,False,False,True,False,False,False,False,False,False,False,2.0,False,False,False,False,False
856,kungsholmen,6150000,2.0,55,2 av 6,True,1884.0,2491,8400,viktor moberg,nestor fastighetsmäkleri,False,False,False,False,True,False,False,False,False,False,False,False,2.0,False,False,False,False,False
857,kungsholmen,2200000,1.0,22,0,True,1938.0,1907,3000,emilia aspelin,notar,False,False,False,False,True,False,False,False,False,False,True,False,0.0,False,False,False,True,False
858,hagsätra,2900000,5.0,97,1 av 3,False,1958.0,6279,6600,ilker cengiz,bosthlm,False,False,False,False,False,False,False,False,False,False,False,False,1.0,False,False,False,False,False
860,vasastan,4000000,2.0,34,4 av 6,True,1906.0,2435,6000,amanda treutiger,alicia edelman vasastan/norrmalm,False,False,False,False,False,False,False,True,False,False,True,False,4.0,False,False,False,False,False
861,vasastan,4300000,2.0,38,4 av 5,True,1898.0,1256,4400,anita ek,ek & co fastighetsförmedling ab,False,False,False,False,False,False,False,True,False,False,True,False,4.0,False,False,False,False,False
